Feature,Importance
chroma_stft_mean,0.04963841078544327
perceptr_var,0.039018227355967015
chroma_stft_var,0.035142292418027195
rms_mean,0.03333391314099934
mfcc4_mean,0.030325353628710295
spectral_bandwidth_mean,0.029748498435505626
rms_var,0.02847632831047653
mfcc5_var,0.024635743449858753
rolloff_mean,0.024318917270819872
harmony_var,0.024126345496833016
rolloff_var,0.023405811658705828
spectral_centroid_var,0.02312604681797324
mfcc1_mean,0.022212438324749367
mfcc9_mean,0.0216520772801624
zero_crossing_rate_mean,0.019637406129272308
mfcc4_var,0.019553314645162585
mfcc1_var,0.019275770003868157
mfcc20_var,0.019253312219782975
spectral_centroid_mean,0.01881395555841717
mfcc6_var,0.01846632307838279
mfcc7_var,0.018113758756244585
harmony_mean,0.017665606582858335
mfcc17_mean,0.016869141659361094
mfcc6_mean,0.01666140202326039
mfcc2_mean,0.0165488935258896
mfcc3_var,0.016360871812014854
perceptr_mean,0.01580847419557544
mfcc8_mean,0.015440873509858077
mfcc12_mean,0.015380078642159387
mfcc8_var,0.01491277628750323
mfcc3_mean,0.014796355474099592
mfcc10_var,0.014567783078984915
zero_crossing_rate_var,0.013595774073554574
mfcc15_mean,0.013417936855814912
mfcc13_mean,0.013393757161685614
mfcc11_mean,0.013313693658613335
spectral_bandwidth_var,0.01325851881274321
mfcc7_mean,0.013233994248043092
mfcc19_var,0.012558313440455762
mfcc14_mean,0.012106345614643552
mfcc20_mean,0.012005748525129846
mfcc5_mean,0.011481312340794256
mfcc19_mean,0.011271906726168466
mfcc18_var,0.0111834991757765
mfcc9_var,0.011150421070490343
tempo,0.010801960884520598
mfcc2_var,0.010776096785822276
mfcc13_var,0.010531209697773459
mfcc16_mean,0.010518645166271283
mfcc11_var,0.010321688671226757
mfcc10_mean,0.010312495591912895
mfcc17_var,0.010281801340184346
mfcc18_mean,0.010100005180418072
mfcc14_var,0.0099805102957237
mfcc12_var,0.00964627930679801
mfcc15_var,0.008831860698974753
mfcc16_var,0.00863972311953315
